id;id_list_products;title;condition;procuct_type;price;suggested_price;sold;review_rating;review_amount;seller_name;url;created_at;updated_at;part_number_detectado;score_suspeita;classificacao;probabilidade_pirata;preco_sugerido;desvio_preco;motivos
31;31;Cartucho Hp 667 Preto Original Hp 3ym79ab - 2376 2776 6476;Novo ;Original;63.9;69.9;100;4.8;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/cartucho-hp-667-preto-original-hp-3ym79ab--2376-2776-6476/up/MLBU1111564466?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=31&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB2684976599&sid=search;2025-10-06 05:18:05;2025-10-06 05:18:05;3ym79ab;45;MÉDIA SUSPEITA;40-70%;69.9;-8.6%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
32;32;Cartucho Hp 667 Preto Original 3ym79ab 2376 2774 2776 6476;Novo ;Original;78.98;69.9;500;4.6;0;SARAIVA COMERCIO;https://www.mercadolivre.com.br/cartucho-hp-667-preto-original-3ym79ab-2376-2774-2776-6476/up/MLBU1443817800?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=32&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3201775232&sid=search;2025-10-06 05:18:17;2025-10-06 05:18:17;3ym79ab;45;MÉDIA SUSPEITA;40-70%;69.9;13.0%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
33;33;Kit Cartucho Hp 667xl Preto E Colorido 2376 667xl 2776 2774;Novo ;Original;233.69;285.9;500;4.7;0;TC20240813115050;https://www.mercadolivre.com.br/kit-cartucho-hp-667xl-preto-e-colorido-2376-667xl-2776-2774/up/MLBU3178624976?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=33&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB4062027457&sid=search;2025-10-06 05:18:30;2025-10-06 05:18:30;hp667xl;55;MÉDIA SUSPEITA;40-70%;285.9;-18.3%;Vendedor não autorizado, Preço -18.3% abaixo do sugerido (suspeito)
34;34;Cartucho De Tinta Hp 667xl 8,5ml Preto Advantage Original;Novo ;Original;195.2;172.9;100;4.5;0;vanvan;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667xl-85ml-preto-advantage-original/up/MLBU1454336539?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=34&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3670221466&sid=search;2025-10-06 05:18:45;2025-10-06 05:18:45;hp667xl;45;MÉDIA SUSPEITA;40-70%;172.9;12.9%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
35;35;Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color Full;Novo ;Original;309.43;285.9;1000;4.7;0;Loja oficialPark Ecom;https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color-full/up/MLBU1143896045?has_official_store=false&highlight=false&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=35&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3638028081&sid=search;2025-10-06 05:18:58;2025-10-06 05:18:58;hp667;30;BAIXA SUSPEITA;10-40%;285.9;8.2%;Vendedor não autorizado
36;36;"Cartucho De Tinta Hp Tricolor 667
MAIS VENDIDO
6º em Cartuchos de Tinta";Novo ;Original;77.82;74.9;10000;4.7;0;MegaByteMagazine;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=36&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5151394802&sid=search;2025-10-06 05:19:13;2025-10-06 05:19:13;;50;MÉDIA SUSPEITA;40-70%;74.9;3.9%;Vendedor não autorizado, Número de parte (PN) inválido ou ausente
37;37;"Kit Cartucho Hp 667 667xl Deskjet 2776 Preto E Color
MAIS VENDIDO
3º em Cartuchos de Tinta";Novo ;Original;302.33;285.9;10000;4.4;0;Loja oficialPark Ecom;https://www.mercadolivre.com.br/kit-cartucho-hp-667-667xl-deskjet-2776-preto-e-color/p/MLB36786137?has_official_store=false&highlight=true&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=37&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3708346159&sid=search;2025-10-06 05:19:30;2025-10-06 05:19:30;hp667;30;BAIXA SUSPEITA;10-40%;285.9;5.7%;Vendedor não autorizado
38;38;Kit Cartucho Original Hp 667 2 Pretos E 1 Color 2300 2700;Novo ;Original;219.9;214.7;1000;4.8;0;OBERO INFORMATICA;https://www.mercadolivre.com.br/kit-cartucho-original-hp-667--2-pretos-e-1-color-2300-2700/up/MLBU760912464?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=38&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3310779285&sid=search;2025-10-06 05:19:45;2025-10-06 05:19:45;hp667;45;MÉDIA SUSPEITA;40-70%;214.7;2.4%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
39;39;Kit Cartucho Original Hp 667 2 Pretos E 1 Color 2300 2700;Novo ;Original;219.9;214.7;500;4.8;0;vanvan;https://www.mercadolivre.com.br/kit-cartucho-original-hp-667--2-pretos-e-1-color-2300-2700/up/MLBU1443181710?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=39&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB3329826903&sid=search;2025-10-06 05:19:59;2025-10-06 05:19:59;hp667;45;MÉDIA SUSPEITA;40-70%;214.7;2.4%;Vendedor não autorizado, Vendedor não autorizado vendendo produto 'original'
40;40;"Cartucho de tinta HP 667 Deskjet Ink Advantage cor preto e tricolor do 6 mL 3 unidades
MAIS VENDIDO
3º em Cartuchos de Tinta HP";Novo ;Original;269.16;214.7;100;4.8;0;Loja oficialTec Print;https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-deskjet-ink-advantage-cor-preto-e-tricolor-do-6-ml-3-unidades/p/MLB55040388?has_official_store=false&highlight=true&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=40&type=product&tracking_id=7a600541-0708-4447-be8f-47426a873dc8&wid=MLB5686731380&sid=search;2025-10-06 05:20:12;2025-10-06 05:20:12;hp667;30;BAIXA SUSPEITA;10-40%;214.7;25.4%;Vendedor não autorizado
